"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 04:25:31 GMT 2021","Wed Aug 25 04:25:33 GMT 2021","2372","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 25 04:25:49 GMT 2021","Wed Aug 25 04:25:52 GMT 2021","2362","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Wed Aug 25 04:27:09 GMT 2021","Wed Aug 25 04:27:10 GMT 2021","946","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Wed Aug 25 04:27:45 GMT 2021","Wed Aug 25 04:27:47 GMT 2021","1995","chrome-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 25 04:27:24 GMT 2021","Wed Aug 25 04:27:25 GMT 2021","1088","chrome-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Aug 25 04:25:28 GMT 2021","Wed Aug 25 04:25:30 GMT 2021","1974","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Wed Aug 25 04:26:15 GMT 2021","Wed Aug 25 04:26:17 GMT 2021","2424","chromium-fhd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Aug 25 04:25:19 GMT 2021","Wed Aug 25 04:25:21 GMT 2021","2064","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Aug 25 04:27:14 GMT 2021","Wed Aug 25 04:27:15 GMT 2021","738","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Wed Aug 25 04:25:30 GMT 2021","Wed Aug 25 04:25:31 GMT 2021","923","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 25 04:27:17 GMT 2021","Wed Aug 25 04:27:18 GMT 2021","1415","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Wed Aug 25 04:25:21 GMT 2021","Wed Aug 25 04:25:23 GMT 2021","2372","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Wed Aug 25 04:26:57 GMT 2021","Wed Aug 25 04:26:58 GMT 2021","1765","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Aug 25 04:25:07 GMT 2021","Wed Aug 25 04:25:08 GMT 2021","1324","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Aug 25 04:26:00 GMT 2021","Wed Aug 25 04:26:01 GMT 2021","1131","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Aug 25 04:27:00 GMT 2021","Wed Aug 25 04:27:02 GMT 2021","1723","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Wed Aug 25 04:25:37 GMT 2021","Wed Aug 25 04:25:38 GMT 2021","897","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Wed Aug 25 04:25:33 GMT 2021","Wed Aug 25 04:25:34 GMT 2021","1009","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Wed Aug 25 04:27:18 GMT 2021","Wed Aug 25 04:27:20 GMT 2021","1066","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Wed Aug 25 04:25:07 GMT 2021","Wed Aug 25 04:25:08 GMT 2021","1125","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 04:25:16 GMT 2021","Wed Aug 25 04:25:19 GMT 2021","2905","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Wed Aug 25 04:25:26 GMT 2021","Wed Aug 25 04:25:27 GMT 2021","417","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Wed Aug 25 04:27:03 GMT 2021","Wed Aug 25 04:27:05 GMT 2021","1836","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 25 04:26:43 GMT 2021","Wed Aug 25 04:26:44 GMT 2021","1034","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
