"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 18:48:19 GMT 2021","Thu Aug 26 18:48:21 GMT 2021","2414","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Aug 26 18:49:45 GMT 2021","Thu Aug 26 18:49:48 GMT 2021","2470","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Thu Aug 26 18:50:25 GMT 2021","Thu Aug 26 18:50:29 GMT 2021","3427","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Aug 26 18:49:14 GMT 2021","Thu Aug 26 18:49:16 GMT 2021","1830","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Thu Aug 26 18:48:32 GMT 2021","Thu Aug 26 18:48:34 GMT 2021","1669","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Thu Aug 26 18:47:45 GMT 2021","Thu Aug 26 18:47:47 GMT 2021","1939","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Thu Aug 26 18:47:47 GMT 2021","Thu Aug 26 18:47:48 GMT 2021","1684","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Thu Aug 26 18:49:51 GMT 2021","Thu Aug 26 18:49:54 GMT 2021","2692","firefox-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:47:43 GMT 2021","Thu Aug 26 18:47:45 GMT 2021","1826","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show postalCode error message if empty",""
"passed","Thu Aug 26 18:47:37 GMT 2021","Thu Aug 26 18:47:39 GMT 2021","1916","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Thu Aug 26 18:51:05 GMT 2021","Thu Aug 26 18:51:07 GMT 2021","2185","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Thu Aug 26 18:49:30 GMT 2021","Thu Aug 26 18:49:32 GMT 2021","2692","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Thu Aug 26 18:46:42 GMT 2021","Thu Aug 26 18:46:44 GMT 2021","1649","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Aug 26 18:47:08 GMT 2021","Thu Aug 26 18:47:10 GMT 2021","1972","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show items sorted alphabetically",""
"passed","Thu Aug 26 18:48:27 GMT 2021","Thu Aug 26 18:48:30 GMT 2021","3106","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Thu Aug 26 18:47:24 GMT 2021","Thu Aug 26 18:47:26 GMT 2021","1971","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Thu Aug 26 18:50:52 GMT 2021","Thu Aug 26 18:50:54 GMT 2021","2135","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Aug 26 18:47:53 GMT 2021","Thu Aug 26 18:47:54 GMT 2021","1699","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:51:16 GMT 2021","Thu Aug 26 18:51:19 GMT 2021","2409","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Thu Aug 26 18:47:26 GMT 2021","Thu Aug 26 18:47:28 GMT 2021","1678","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:47:19 GMT 2021","Thu Aug 26 18:47:20 GMT 2021","1634","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Thu Aug 26 18:49:11 GMT 2021","Thu Aug 26 18:49:13 GMT 2021","2460","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Aug 26 18:46:41 GMT 2021","Thu Aug 26 18:46:42 GMT 2021","1731","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Thu Aug 26 18:48:41 GMT 2021","Thu Aug 26 18:48:43 GMT 2021","2323","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Thu Aug 26 18:51:14 GMT 2021","Thu Aug 26 18:51:17 GMT 2021","2625","webkit-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Thu Aug 26 18:50:03 GMT 2021","Thu Aug 26 18:50:06 GMT 2021","2956","firefox-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to add the product to cart",""
