"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 05:03:53 GMT 2021","Thu Sep 09 05:03:55 GMT 2021","1280","iphone-8","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"skipped","Thu Sep 09 05:07:48 GMT 2021","Thu Sep 09 05:07:51 GMT 2021","2178","firefox-hd","failSample.spec.js","","","","marked as 'should fail' on purpose to show expected error evidences @login @should-fail",""
"passed","Thu Sep 09 05:02:42 GMT 2021","Thu Sep 09 05:02:45 GMT 2021","2215","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Thu Sep 09 05:08:37 GMT 2021","Thu Sep 09 05:08:39 GMT 2021","2071","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Sep 09 05:06:41 GMT 2021","Thu Sep 09 05:06:42 GMT 2021","1602","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Thu Sep 09 05:08:21 GMT 2021","Thu Sep 09 05:08:24 GMT 2021","2566","webkit-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Thu Sep 09 05:06:31 GMT 2021","Thu Sep 09 05:06:33 GMT 2021","1679","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Thu Sep 09 05:07:14 GMT 2021","Thu Sep 09 05:07:17 GMT 2021","2265","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Sep 09 05:06:20 GMT 2021","Thu Sep 09 05:06:21 GMT 2021","1634","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Sep 09 05:04:29 GMT 2021","Thu Sep 09 05:04:31 GMT 2021","2082","pixel-4","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Thu Sep 09 05:07:28 GMT 2021","Thu Sep 09 05:07:31 GMT 2021","2400","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Sep 09 05:04:01 GMT 2021","Thu Sep 09 05:04:03 GMT 2021","2120","iphone-8","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Sep 09 05:02:37 GMT 2021","Thu Sep 09 05:02:39 GMT 2021","2101","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Thu Sep 09 05:05:57 GMT 2021","Thu Sep 09 05:05:58 GMT 2021","1569","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Sep 09 05:08:39 GMT 2021","Thu Sep 09 05:08:41 GMT 2021","2001","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Sep 09 05:04:18 GMT 2021","Thu Sep 09 05:04:20 GMT 2021","1733","pixel-4","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Thu Sep 09 05:06:49 GMT 2021","Thu Sep 09 05:06:53 GMT 2021","3652","firefox-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Thu Sep 09 05:06:23 GMT 2021","Thu Sep 09 05:06:25 GMT 2021","1783","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Thu Sep 09 05:05:13 GMT 2021","Thu Sep 09 05:05:15 GMT 2021","1901","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Thu Sep 09 05:07:41 GMT 2021","Thu Sep 09 05:07:43 GMT 2021","2106","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
