"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 10:45:55 GMT 2021","Wed Sep 08 10:45:57 GMT 2021","1966","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Sep 08 10:42:50 GMT 2021","Wed Sep 08 10:42:52 GMT 2021","2183","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Wed Sep 08 10:45:51 GMT 2021","Wed Sep 08 10:45:54 GMT 2021","2888","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Sep 08 10:42:44 GMT 2021","Wed Sep 08 10:42:46 GMT 2021","1573","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Sep 08 10:47:25 GMT 2021","Wed Sep 08 10:47:27 GMT 2021","1976","iphone-8","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Sep 08 10:47:00 GMT 2021","Wed Sep 08 10:47:02 GMT 2021","2310","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Wed Sep 08 10:47:20 GMT 2021","Wed Sep 08 10:47:23 GMT 2021","2398","iphone-8","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Wed Sep 08 10:45:37 GMT 2021","Wed Sep 08 10:45:40 GMT 2021","3088","firefox-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Sep 08 10:48:06 GMT 2021","Wed Sep 08 10:48:08 GMT 2021","1993","iphone-8","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Wed Sep 08 10:43:06 GMT 2021","Wed Sep 08 10:43:07 GMT 2021","845","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Wed Sep 08 10:42:50 GMT 2021","Wed Sep 08 10:42:52 GMT 2021","1437","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Sep 08 10:47:38 GMT 2021","Wed Sep 08 10:47:39 GMT 2021","1204","iphone-8","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Wed Sep 08 10:47:04 GMT 2021","Wed Sep 08 10:47:06 GMT 2021","2056","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Wed Sep 08 10:49:09 GMT 2021","Wed Sep 08 10:49:11 GMT 2021","1564","pixel-4","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Wed Sep 08 10:43:17 GMT 2021","Wed Sep 08 10:43:19 GMT 2021","1681","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Wed Sep 08 10:48:46 GMT 2021","Wed Sep 08 10:48:48 GMT 2021","1996","pixel-4","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Sep 08 10:43:42 GMT 2021","Wed Sep 08 10:43:43 GMT 2021","1706","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Wed Sep 08 10:48:43 GMT 2021","Wed Sep 08 10:48:45 GMT 2021","2015","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Sep 08 10:46:23 GMT 2021","Wed Sep 08 10:46:25 GMT 2021","1992","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Wed Sep 08 10:44:50 GMT 2021","Wed Sep 08 10:44:51 GMT 2021","920","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Wed Sep 08 10:47:56 GMT 2021","Wed Sep 08 10:47:57 GMT 2021","1494","iphone-8","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Wed Sep 08 10:43:39 GMT 2021","Wed Sep 08 10:43:42 GMT 2021","2625","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Sep 08 10:48:53 GMT 2021","Wed Sep 08 10:48:55 GMT 2021","2198","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Sep 08 10:47:36 GMT 2021","Wed Sep 08 10:47:38 GMT 2021","2535","iphone-8","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Wed Sep 08 10:43:32 GMT 2021","Wed Sep 08 10:43:34 GMT 2021","1739","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Sep 08 10:47:41 GMT 2021","Wed Sep 08 10:47:43 GMT 2021","1955","iphone-8","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Wed Sep 08 10:48:39 GMT 2021","Wed Sep 08 10:48:41 GMT 2021","2192","pixel-4","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Sep 08 10:43:25 GMT 2021","Wed Sep 08 10:43:27 GMT 2021","1675","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Wed Sep 08 10:45:14 GMT 2021","Wed Sep 08 10:45:17 GMT 2021","2232","firefox-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Sep 08 10:44:12 GMT 2021","Wed Sep 08 10:44:14 GMT 2021","1582","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Sep 08 10:44:05 GMT 2021","Wed Sep 08 10:44:07 GMT 2021","1764","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Wed Sep 08 10:46:13 GMT 2021","Wed Sep 08 10:46:16 GMT 2021","2187","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Sep 08 10:45:22 GMT 2021","Wed Sep 08 10:45:26 GMT 2021","3276","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Sep 08 10:48:25 GMT 2021","Wed Sep 08 10:48:27 GMT 2021","1666","pixel-4","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Sep 08 10:48:24 GMT 2021","Wed Sep 08 10:48:27 GMT 2021","2721","pixel-4","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Wed Sep 08 10:46:41 GMT 2021","Wed Sep 08 10:46:42 GMT 2021","1239","webkit-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Wed Sep 08 10:42:42 GMT 2021","Wed Sep 08 10:42:44 GMT 2021","1584","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Sep 08 10:43:10 GMT 2021","Wed Sep 08 10:43:11 GMT 2021","1017","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Wed Sep 08 10:48:16 GMT 2021","Wed Sep 08 10:48:17 GMT 2021","1648","pixel-4","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Wed Sep 08 10:47:43 GMT 2021","Wed Sep 08 10:47:45 GMT 2021","1865","iphone-8","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Wed Sep 08 10:47:53 GMT 2021","Wed Sep 08 10:47:54 GMT 2021","1364","iphone-8","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Sep 08 10:42:49 GMT 2021","Wed Sep 08 10:42:50 GMT 2021","1942","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Wed Sep 08 10:43:25 GMT 2021","Wed Sep 08 10:43:27 GMT 2021","1467","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Wed Sep 08 10:44:24 GMT 2021","Wed Sep 08 10:44:25 GMT 2021","1507","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Sep 08 10:48:36 GMT 2021","Wed Sep 08 10:48:37 GMT 2021","1277","pixel-4","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Wed Sep 08 10:47:27 GMT 2021","Wed Sep 08 10:47:29 GMT 2021","2161","iphone-8","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Wed Sep 08 10:43:05 GMT 2021","Wed Sep 08 10:43:06 GMT 2021","1682","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Sep 08 10:48:47 GMT 2021","Wed Sep 08 10:48:49 GMT 2021","2227","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Wed Sep 08 10:44:35 GMT 2021","Wed Sep 08 10:44:36 GMT 2021","1447","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Wed Sep 08 10:46:37 GMT 2021","Wed Sep 08 10:46:39 GMT 2021","1784","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Sep 08 10:43:21 GMT 2021","Wed Sep 08 10:43:23 GMT 2021","1724","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Wed Sep 08 10:47:31 GMT 2021","Wed Sep 08 10:47:33 GMT 2021","2163","iphone-8","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Sep 08 10:42:37 GMT 2021","Wed Sep 08 10:42:39 GMT 2021","1771","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Wed Sep 08 10:43:43 GMT 2021","Wed Sep 08 10:43:45 GMT 2021","2166","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
