"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 07 01:42:29 GMT 2021","Thu Oct 07 01:42:30 GMT 2021","1420","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Oct 07 01:45:43 GMT 2021","Thu Oct 07 01:45:44 GMT 2021","1624","iphone-8","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Oct 07 01:44:39 GMT 2021","Thu Oct 07 01:44:40 GMT 2021","1122","webkit-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Thu Oct 07 01:41:49 GMT 2021","Thu Oct 07 01:41:51 GMT 2021","1480","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Thu Oct 07 01:41:41 GMT 2021","Thu Oct 07 01:41:43 GMT 2021","1550","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Thu Oct 07 01:40:20 GMT 2021","Thu Oct 07 01:40:21 GMT 2021","1446","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Thu Oct 07 01:46:43 GMT 2021","Thu Oct 07 01:46:45 GMT 2021","1551","pixel-4","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Oct 07 01:44:23 GMT 2021","Thu Oct 07 01:44:25 GMT 2021","2188","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Oct 07 01:44:08 GMT 2021","Thu Oct 07 01:44:10 GMT 2021","1970","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Thu Oct 07 01:44:06 GMT 2021","Thu Oct 07 01:44:08 GMT 2021","2091","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Thu Oct 07 01:42:15 GMT 2021","Thu Oct 07 01:42:17 GMT 2021","1590","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
