"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 04:26:51 GMT 2021","Wed Aug 25 04:26:52 GMT 2021","1004","chrome-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Wed Aug 25 04:25:11 GMT 2021","Wed Aug 25 04:25:12 GMT 2021","949","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Wed Aug 25 04:26:14 GMT 2021","Wed Aug 25 04:26:16 GMT 2021","1686","chrome-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Wed Aug 25 04:25:09 GMT 2021","Wed Aug 25 04:25:10 GMT 2021","880","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Wed Aug 25 04:26:34 GMT 2021","Wed Aug 25 04:26:35 GMT 2021","1501","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Wed Aug 25 04:25:51 GMT 2021","Wed Aug 25 04:25:53 GMT 2021","1179","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Wed Aug 25 04:24:32 GMT 2021","Wed Aug 25 04:24:34 GMT 2021","2438","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Wed Aug 25 04:26:20 GMT 2021","Wed Aug 25 04:26:22 GMT 2021","1819","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Wed Aug 25 04:26:48 GMT 2021","Wed Aug 25 04:26:50 GMT 2021","1116","chrome-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 04:25:01 GMT 2021","Wed Aug 25 04:25:02 GMT 2021","963","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 25 04:27:24 GMT 2021","Wed Aug 25 04:27:25 GMT 2021","862","chrome-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Wed Aug 25 04:25:57 GMT 2021","Wed Aug 25 04:25:58 GMT 2021","892","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Wed Aug 25 04:25:23 GMT 2021","Wed Aug 25 04:25:25 GMT 2021","2427","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Wed Aug 25 04:25:33 GMT 2021","Wed Aug 25 04:25:36 GMT 2021","3222","chromium-fhd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Wed Aug 25 04:24:43 GMT 2021","Wed Aug 25 04:24:45 GMT 2021","1962","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Wed Aug 25 04:24:42 GMT 2021","Wed Aug 25 04:24:42 GMT 2021","860","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Wed Aug 25 04:25:45 GMT 2021","Wed Aug 25 04:25:48 GMT 2021","2318","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 25 04:25:20 GMT 2021","Wed Aug 25 04:25:22 GMT 2021","1248","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 04:26:03 GMT 2021","Wed Aug 25 04:26:04 GMT 2021","1309","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Wed Aug 25 04:25:25 GMT 2021","Wed Aug 25 04:25:26 GMT 2021","1027","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Wed Aug 25 04:25:50 GMT 2021","Wed Aug 25 04:25:52 GMT 2021","1883","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Wed Aug 25 04:25:45 GMT 2021","Wed Aug 25 04:25:45 GMT 2021","726","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Aug 25 04:24:54 GMT 2021","Wed Aug 25 04:24:56 GMT 2021","1929","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show items sorted alphabetically",""
"passed","Wed Aug 25 04:25:59 GMT 2021","Wed Aug 25 04:26:00 GMT 2021","1015","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Aug 25 04:26:19 GMT 2021","Wed Aug 25 04:26:20 GMT 2021","1476","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Wed Aug 25 04:26:12 GMT 2021","Wed Aug 25 04:26:13 GMT 2021","795","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
