"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 18:29:16 GMT 2021","Wed Aug 11 18:29:17 GMT 2021","906","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Wed Aug 11 18:29:41 GMT 2021","Wed Aug 11 18:29:41 GMT 2021","410","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Aug 11 18:29:16 GMT 2021","Wed Aug 11 18:29:17 GMT 2021","979","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Wed Aug 11 18:29:45 GMT 2021","Wed Aug 11 18:29:46 GMT 2021","509","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Wed Aug 11 18:29:23 GMT 2021","Wed Aug 11 18:29:23 GMT 2021","696","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Wed Aug 11 18:29:42 GMT 2021","Wed Aug 11 18:29:43 GMT 2021","874","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Wed Aug 11 18:29:28 GMT 2021","Wed Aug 11 18:29:29 GMT 2021","934","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Wed Aug 11 18:29:19 GMT 2021","Wed Aug 11 18:29:20 GMT 2021","992","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Aug 11 18:29:37 GMT 2021","Wed Aug 11 18:29:38 GMT 2021","876","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Wed Aug 11 18:29:25 GMT 2021","Wed Aug 11 18:29:27 GMT 2021","2317","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Wed Aug 11 18:29:16 GMT 2021","Wed Aug 11 18:29:16 GMT 2021","814","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Wed Aug 11 18:29:24 GMT 2021","Wed Aug 11 18:29:25 GMT 2021","1329","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Wed Aug 11 18:29:43 GMT 2021","Wed Aug 11 18:29:44 GMT 2021","904","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Wed Aug 11 18:29:33 GMT 2021","Wed Aug 11 18:29:34 GMT 2021","1203","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Wed Aug 11 18:29:29 GMT 2021","Wed Aug 11 18:29:30 GMT 2021","642","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Wed Aug 11 18:29:43 GMT 2021","Wed Aug 11 18:29:44 GMT 2021","764","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Aug 11 18:29:25 GMT 2021","Wed Aug 11 18:29:27 GMT 2021","1569","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Wed Aug 11 18:29:36 GMT 2021","Wed Aug 11 18:29:37 GMT 2021","1108","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Wed Aug 11 18:29:32 GMT 2021","Wed Aug 11 18:29:33 GMT 2021","795","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Aug 11 18:29:21 GMT 2021","Wed Aug 11 18:29:22 GMT 2021","1325","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Wed Aug 11 18:29:44 GMT 2021","Wed Aug 11 18:29:45 GMT 2021","830","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Aug 11 18:29:39 GMT 2021","Wed Aug 11 18:29:40 GMT 2021","1186","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Wed Aug 11 18:29:47 GMT 2021","Wed Aug 11 18:29:47 GMT 2021","540","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Wed Aug 11 18:29:17 GMT 2021","Wed Aug 11 18:29:18 GMT 2021","804","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
