"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 01:15:43 GMT 2021","Thu Aug 26 01:15:45 GMT 2021","2147","webkit-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Thu Aug 26 01:14:40 GMT 2021","Thu Aug 26 01:14:42 GMT 2021","2387","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Thu Aug 26 01:14:07 GMT 2021","Thu Aug 26 01:14:10 GMT 2021","2096","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Aug 26 01:13:05 GMT 2021","Thu Aug 26 01:13:07 GMT 2021","1852","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Thu Aug 26 01:13:32 GMT 2021","Thu Aug 26 01:13:34 GMT 2021","1656","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Thu Aug 26 01:13:35 GMT 2021","Thu Aug 26 01:13:37 GMT 2021","1751","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show items sorted alphabetically",""
"passed","Thu Aug 26 01:15:47 GMT 2021","Thu Aug 26 01:15:50 GMT 2021","2151","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Aug 26 01:14:42 GMT 2021","Thu Aug 26 01:14:43 GMT 2021","1360","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Thu Aug 26 01:12:41 GMT 2021","Thu Aug 26 01:12:43 GMT 2021","1757","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Aug 26 01:12:54 GMT 2021","Thu Aug 26 01:12:55 GMT 2021","1095","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Thu Aug 26 01:12:26 GMT 2021","Thu Aug 26 01:12:29 GMT 2021","2762","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Thu Aug 26 01:15:56 GMT 2021","Thu Aug 26 01:15:58 GMT 2021","2035","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Aug 26 01:16:09 GMT 2021","Thu Aug 26 01:16:11 GMT 2021","1751","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Thu Aug 26 01:13:30 GMT 2021","Thu Aug 26 01:13:32 GMT 2021","1646","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Aug 26 01:15:29 GMT 2021","Thu Aug 26 01:15:31 GMT 2021","1847","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Thu Aug 26 01:13:52 GMT 2021","Thu Aug 26 01:13:54 GMT 2021","1496","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Aug 26 01:11:48 GMT 2021","Thu Aug 26 01:11:49 GMT 2021","856","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Thu Aug 26 01:14:37 GMT 2021","Thu Aug 26 01:14:40 GMT 2021","2501","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Thu Aug 26 01:15:17 GMT 2021","Thu Aug 26 01:15:19 GMT 2021","1901","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Aug 26 01:15:04 GMT 2021","Thu Aug 26 01:15:06 GMT 2021","2140","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Aug 26 01:15:56 GMT 2021","Thu Aug 26 01:15:58 GMT 2021","2030","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Aug 26 01:12:17 GMT 2021","Thu Aug 26 01:12:18 GMT 2021","1534","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Thu Aug 26 01:12:01 GMT 2021","Thu Aug 26 01:12:03 GMT 2021","1778","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Aug 26 01:13:46 GMT 2021","Thu Aug 26 01:13:47 GMT 2021","1746","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Aug 26 01:12:05 GMT 2021","Thu Aug 26 01:12:07 GMT 2021","1716","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 01:15:50 GMT 2021","Thu Aug 26 01:15:52 GMT 2021","2219","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
