"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 22 01:14:31 GMT 2021","Wed Sep 22 01:14:33 GMT 2021","2214","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Wed Sep 22 01:12:32 GMT 2021","Wed Sep 22 01:12:33 GMT 2021","1660","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Wed Sep 22 01:11:58 GMT 2021","Wed Sep 22 01:12:00 GMT 2021","1654","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Wed Sep 22 01:15:23 GMT 2021","Wed Sep 22 01:15:25 GMT 2021","1864","iphone-8","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Wed Sep 22 01:14:51 GMT 2021","Wed Sep 22 01:14:52 GMT 2021","1040","webkit-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Wed Sep 22 01:13:49 GMT 2021","Wed Sep 22 01:13:50 GMT 2021","1408","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Wed Sep 22 01:12:53 GMT 2021","Wed Sep 22 01:12:57 GMT 2021","4437","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Wed Sep 22 01:15:27 GMT 2021","Wed Sep 22 01:15:29 GMT 2021","2057","iphone-8","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Wed Sep 22 01:10:30 GMT 2021","Wed Sep 22 01:10:31 GMT 2021","1629","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Wed Sep 22 01:10:46 GMT 2021","Wed Sep 22 01:10:48 GMT 2021","1791","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Wed Sep 22 01:13:49 GMT 2021","Wed Sep 22 01:13:51 GMT 2021","1643","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Wed Sep 22 01:16:01 GMT 2021","Wed Sep 22 01:16:03 GMT 2021","1990","iphone-8","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Wed Sep 22 01:15:45 GMT 2021","Wed Sep 22 01:15:47 GMT 2021","2143","iphone-8","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
