"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 04 01:49:04 GMT 2021","Sat Sep 04 01:49:06 GMT 2021","2054","pixel-4","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Sat Sep 04 01:42:56 GMT 2021","Sat Sep 04 01:42:57 GMT 2021","1553","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Sat Sep 04 01:47:28 GMT 2021","Sat Sep 04 01:47:30 GMT 2021","2035","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Sat Sep 04 01:48:12 GMT 2021","Sat Sep 04 01:48:15 GMT 2021","2308","iphone-8","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to add the product to cart",""
"passed","Sat Sep 04 01:44:20 GMT 2021","Sat Sep 04 01:44:22 GMT 2021","2001","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Sat Sep 04 01:44:50 GMT 2021","Sat Sep 04 01:44:52 GMT 2021","2063","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Sat Sep 04 01:49:13 GMT 2021","Sat Sep 04 01:49:15 GMT 2021","2080","pixel-4","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Sat Sep 04 01:45:07 GMT 2021","Sat Sep 04 01:45:08 GMT 2021","838","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Sat Sep 04 01:46:17 GMT 2021","Sat Sep 04 01:46:19 GMT 2021","1504","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Sat Sep 04 01:48:45 GMT 2021","Sat Sep 04 01:48:47 GMT 2021","1808","pixel-4","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Sat Sep 04 01:44:41 GMT 2021","Sat Sep 04 01:44:42 GMT 2021","1546","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Sat Sep 04 01:47:11 GMT 2021","Sat Sep 04 01:47:13 GMT 2021","2453","webkit-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Sat Sep 04 01:42:57 GMT 2021","Sat Sep 04 01:42:59 GMT 2021","1601","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Sat Sep 04 01:43:06 GMT 2021","Sat Sep 04 01:43:08 GMT 2021","1488","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Sat Sep 04 01:47:02 GMT 2021","Sat Sep 04 01:47:05 GMT 2021","2449","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Sat Sep 04 01:49:07 GMT 2021","Sat Sep 04 01:49:09 GMT 2021","1794","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Sat Sep 04 01:49:28 GMT 2021","Sat Sep 04 01:49:29 GMT 2021","1712","pixel-4","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Sat Sep 04 01:44:22 GMT 2021","Sat Sep 04 01:44:25 GMT 2021","2118","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Sat Sep 04 01:45:33 GMT 2021","Sat Sep 04 01:45:36 GMT 2021","2209","firefox-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Sat Sep 04 01:44:45 GMT 2021","Sat Sep 04 01:44:46 GMT 2021","1536","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Sat Sep 04 01:48:43 GMT 2021","Sat Sep 04 01:48:45 GMT 2021","1898","iphone-8","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Sat Sep 04 01:43:54 GMT 2021","Sat Sep 04 01:43:56 GMT 2021","2342","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
"passed","Sat Sep 04 01:48:08 GMT 2021","Sat Sep 04 01:48:10 GMT 2021","2118","iphone-8","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
