"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 18:13:31 GMT 2021","Thu Aug 26 18:13:32 GMT 2021","986","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"passed","Thu Aug 26 18:14:11 GMT 2021","Thu Aug 26 18:14:13 GMT 2021","1995","chrome-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Thu Aug 26 18:12:24 GMT 2021","Thu Aug 26 18:12:26 GMT 2021","1577","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Thu Aug 26 18:15:01 GMT 2021","Thu Aug 26 18:15:04 GMT 2021","2258","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Thu Aug 26 18:15:24 GMT 2021","Thu Aug 26 18:15:25 GMT 2021","1355","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Thu Aug 26 18:13:53 GMT 2021","Thu Aug 26 18:13:55 GMT 2021","1492","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Thu Aug 26 18:12:35 GMT 2021","Thu Aug 26 18:12:37 GMT 2021","2016","chromium-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Thu Aug 26 18:13:04 GMT 2021","Thu Aug 26 18:13:06 GMT 2021","1699","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 18:13:43 GMT 2021","Thu Aug 26 18:13:45 GMT 2021","1897","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Thu Aug 26 18:14:16 GMT 2021","Thu Aug 26 18:14:18 GMT 2021","1646","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Thu Aug 26 18:15:08 GMT 2021","Thu Aug 26 18:15:10 GMT 2021","2425","firefox-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Thu Aug 26 18:14:47 GMT 2021","Thu Aug 26 18:14:50 GMT 2021","2154","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 18:15:25 GMT 2021","Thu Aug 26 18:15:28 GMT 2021","2594","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Aug 26 18:13:34 GMT 2021","Thu Aug 26 18:13:36 GMT 2021","1128","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Aug 26 18:13:40 GMT 2021","Thu Aug 26 18:13:41 GMT 2021","1625","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Thu Aug 26 18:14:22 GMT 2021","Thu Aug 26 18:14:23 GMT 2021","906","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show application password ",""
"passed","Thu Aug 26 18:14:36 GMT 2021","Thu Aug 26 18:14:38 GMT 2021","1556","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Aug 26 18:12:54 GMT 2021","Thu Aug 26 18:12:56 GMT 2021","1519","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:15:23 GMT 2021","Thu Aug 26 18:15:25 GMT 2021","2514","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Thu Aug 26 18:13:50 GMT 2021","Thu Aug 26 18:13:52 GMT 2021","1609","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Thu Aug 26 18:13:52 GMT 2021","Thu Aug 26 18:13:53 GMT 2021","1545","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Thu Aug 26 18:14:19 GMT 2021","Thu Aug 26 18:14:21 GMT 2021","1677","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Thu Aug 26 18:12:12 GMT 2021","Thu Aug 26 18:12:14 GMT 2021","1577","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Thu Aug 26 18:12:30 GMT 2021","Thu Aug 26 18:12:32 GMT 2021","2235","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Thu Aug 26 18:12:27 GMT 2021","Thu Aug 26 18:12:29 GMT 2021","1522","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Thu Aug 26 18:13:47 GMT 2021","Thu Aug 26 18:13:49 GMT 2021","1625","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:16:06 GMT 2021","Thu Aug 26 18:16:08 GMT 2021","2510","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Thu Aug 26 18:14:12 GMT 2021","Thu Aug 26 18:14:13 GMT 2021","1534","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order image",""
"passed","Thu Aug 26 18:12:21 GMT 2021","Thu Aug 26 18:12:24 GMT 2021","2668","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Thu Aug 26 18:16:10 GMT 2021","Thu Aug 26 18:16:12 GMT 2021","2031","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Thu Aug 26 18:13:36 GMT 2021","Thu Aug 26 18:13:37 GMT 2021","1124","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Thu Aug 26 18:13:06 GMT 2021","Thu Aug 26 18:13:08 GMT 2021","1738","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Aug 26 18:12:55 GMT 2021","Thu Aug 26 18:12:57 GMT 2021","1685","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Copyright text on footer",""
"passed","Thu Aug 26 18:16:15 GMT 2021","Thu Aug 26 18:16:17 GMT 2021","2557","webkit-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Thu Aug 26 18:15:55 GMT 2021","Thu Aug 26 18:15:57 GMT 2021","2230","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Thu Aug 26 18:16:34 GMT 2021","Thu Aug 26 18:16:35 GMT 2021","1432","webkit-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Thu Aug 26 18:15:30 GMT 2021","Thu Aug 26 18:15:31 GMT 2021","1624","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Thu Aug 26 18:14:03 GMT 2021","Thu Aug 26 18:14:05 GMT 2021","1669","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Thu Aug 26 18:15:54 GMT 2021","Thu Aug 26 18:15:57 GMT 2021","2250","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Thu Aug 26 18:13:52 GMT 2021","Thu Aug 26 18:13:54 GMT 2021","1656","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Thu Aug 26 18:15:52 GMT 2021","Thu Aug 26 18:15:54 GMT 2021","1929","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the total calculated as subtotal + tax",""
"passed","Thu Aug 26 18:15:20 GMT 2021","Thu Aug 26 18:15:22 GMT 2021","2475","firefox-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to remove the product from cart",""
"passed","Thu Aug 26 18:16:43 GMT 2021","Thu Aug 26 18:16:45 GMT 2021","1922","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:15:39 GMT 2021","Thu Aug 26 18:15:41 GMT 2021","2460","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Thu Aug 26 18:12:51 GMT 2021","Thu Aug 26 18:12:53 GMT 2021","1719","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Thu Aug 26 18:15:50 GMT 2021","Thu Aug 26 18:15:52 GMT 2021","2197","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the tax calculated as 8% of subtotal",""
"passed","Thu Aug 26 18:14:20 GMT 2021","Thu Aug 26 18:14:21 GMT 2021","1663","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Thu Aug 26 18:12:47 GMT 2021","Thu Aug 26 18:12:49 GMT 2021","1592","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Thu Aug 26 18:12:12 GMT 2021","Thu Aug 26 18:12:14 GMT 2021","1963","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Thu Aug 26 18:13:33 GMT 2021","Thu Aug 26 18:13:35 GMT 2021","1913","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Aug 26 18:16:21 GMT 2021","Thu Aug 26 18:16:23 GMT 2021","2142","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show a list of items @smoke",""
"passed","Thu Aug 26 18:16:35 GMT 2021","Thu Aug 26 18:16:37 GMT 2021","2016","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Thu Aug 26 18:13:20 GMT 2021","Thu Aug 26 18:13:21 GMT 2021","1290","chromium-fhd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Thu Aug 26 18:12:44 GMT 2021","Thu Aug 26 18:12:45 GMT 2021","1023","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Thu Aug 26 18:13:18 GMT 2021","Thu Aug 26 18:13:20 GMT 2021","2150","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Thu Aug 26 18:12:19 GMT 2021","Thu Aug 26 18:12:21 GMT 2021","1570","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Aug 26 18:14:31 GMT 2021","Thu Aug 26 18:14:33 GMT 2021","1550","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Thu Aug 26 18:14:10 GMT 2021","Thu Aug 26 18:14:11 GMT 2021","982","chrome-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Thu Aug 26 18:14:22 GMT 2021","Thu Aug 26 18:14:22 GMT 2021","863","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Thu Aug 26 18:13:32 GMT 2021","Thu Aug 26 18:13:33 GMT 2021","1070","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Thu Aug 26 18:13:31 GMT 2021","Thu Aug 26 18:13:33 GMT 2021","1869","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Thu Aug 26 18:14:02 GMT 2021","Thu Aug 26 18:14:03 GMT 2021","1526","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show postalCode error message if empty",""
"passed","Thu Aug 26 18:15:50 GMT 2021","Thu Aug 26 18:15:53 GMT 2021","2140","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Checkout page when click at the checkout button",""
"passed","Thu Aug 26 18:13:24 GMT 2021","Thu Aug 26 18:13:26 GMT 2021","1827","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Thu Aug 26 18:16:34 GMT 2021","Thu Aug 26 18:16:36 GMT 2021","2293","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 18:13:37 GMT 2021","Thu Aug 26 18:13:39 GMT 2021","1916","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 18:13:11 GMT 2021","Thu Aug 26 18:13:13 GMT 2021","1753","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go to Checkout Overview page @smoke",""
"passed","Thu Aug 26 18:12:30 GMT 2021","Thu Aug 26 18:12:32 GMT 2021","2016","chromium-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Thu Aug 26 18:13:49 GMT 2021","Thu Aug 26 18:13:50 GMT 2021","1622","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Aug 26 18:14:25 GMT 2021","Thu Aug 26 18:14:26 GMT 2021","916","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Thu Aug 26 18:15:12 GMT 2021","Thu Aug 26 18:15:15 GMT 2021","2761","firefox-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Thu Aug 26 18:12:26 GMT 2021","Thu Aug 26 18:12:27 GMT 2021","1502","chromium-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:13:55 GMT 2021","Thu Aug 26 18:13:56 GMT 2021","1759","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Thu Aug 26 18:15:31 GMT 2021","Thu Aug 26 18:15:34 GMT 2021","2212","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Thu Aug 26 18:15:35 GMT 2021","Thu Aug 26 18:15:38 GMT 2021","2425","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Aug 26 18:16:47 GMT 2021","Thu Aug 26 18:16:48 GMT 2021","1772","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the subtotal (total before tax)",""
"passed","Thu Aug 26 18:13:37 GMT 2021","Thu Aug 26 18:13:38 GMT 2021","1047","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Thu Aug 26 18:16:17 GMT 2021","Thu Aug 26 18:16:19 GMT 2021","1975","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Aug 26 18:16:27 GMT 2021","Thu Aug 26 18:16:28 GMT 2021","1146","webkit-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show accepted users",""
"passed","Thu Aug 26 18:12:49 GMT 2021","Thu Aug 26 18:12:51 GMT 2021","2219","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Aug 26 18:15:17 GMT 2021","Thu Aug 26 18:15:20 GMT 2021","2450","firefox-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be possible to add the product to cart",""
"passed","Thu Aug 26 18:13:08 GMT 2021","Thu Aug 26 18:13:10 GMT 2021","1772","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Thu Aug 26 18:13:01 GMT 2021","Thu Aug 26 18:13:03 GMT 2021","1625","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Thu Aug 26 18:16:01 GMT 2021","Thu Aug 26 18:16:04 GMT 2021","3169","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Thu Aug 26 18:13:45 GMT 2021","Thu Aug 26 18:13:46 GMT 2021","1765","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Swag Bot image on footer",""
"passed","Thu Aug 26 18:14:28 GMT 2021","Thu Aug 26 18:14:30 GMT 2021","1643","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Aug 26 18:15:07 GMT 2021","Thu Aug 26 18:15:08 GMT 2021","1735","firefox-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to login with a valid credentials @e2e-login",""
"passed","Thu Aug 26 18:14:07 GMT 2021","Thu Aug 26 18:14:08 GMT 2021","1541","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Thu Aug 26 18:15:43 GMT 2021","Thu Aug 26 18:15:46 GMT 2021","2246","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:15:26 GMT 2021","Thu Aug 26 18:15:28 GMT 2021","1559","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Aug 26 18:14:35 GMT 2021","Thu Aug 26 18:14:36 GMT 2021","1483","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the payment card information",""
"passed","Thu Aug 26 18:14:24 GMT 2021","Thu Aug 26 18:14:25 GMT 2021","925","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Thu Aug 26 18:16:41 GMT 2021","Thu Aug 26 18:16:43 GMT 2021","1769","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Aug 26 18:15:33 GMT 2021","Thu Aug 26 18:15:35 GMT 2021","2651","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Aug 26 18:12:57 GMT 2021","Thu Aug 26 18:12:59 GMT 2021","2272","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Thu Aug 26 18:14:09 GMT 2021","Thu Aug 26 18:14:10 GMT 2021","1439","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Thu Aug 26 18:13:39 GMT 2021","Thu Aug 26 18:13:41 GMT 2021","1873","chromium-fhd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Aug 26 18:15:03 GMT 2021","Thu Aug 26 18:15:05 GMT 2021","1907","firefox-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a thank you header message",""
"passed","Thu Aug 26 18:14:15 GMT 2021","Thu Aug 26 18:14:17 GMT 2021","1881","chrome-hd","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should navigate to product's detail page when clicking at it",""
"passed","Thu Aug 26 18:13:58 GMT 2021","Thu Aug 26 18:13:59 GMT 2021","1549","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Aug 26 18:13:06 GMT 2021","Thu Aug 26 18:13:08 GMT 2021","1765","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Aug 26 18:12:51 GMT 2021","Thu Aug 26 18:12:53 GMT 2021","1574","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Thu Aug 26 18:12:10 GMT 2021","Thu Aug 26 18:12:12 GMT 2021","2430","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be back at Inventory page when click at the continue shopping button",""
"passed","Thu Aug 26 18:15:41 GMT 2021","Thu Aug 26 18:15:43 GMT 2021","2445","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Aug 26 18:16:42 GMT 2021","Thu Aug 26 18:16:44 GMT 2021","1998","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Swag Bot image on footer",""
"passed","Thu Aug 26 18:12:14 GMT 2021","Thu Aug 26 18:12:16 GMT 2021","1571","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Thu Aug 26 18:15:38 GMT 2021","Thu Aug 26 18:15:40 GMT 2021","2440","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have LinkedIn link on footer",""
"passed","Thu Aug 26 18:15:20 GMT 2021","Thu Aug 26 18:15:23 GMT 2021","2560","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Thu Aug 26 18:15:05 GMT 2021","Thu Aug 26 18:15:08 GMT 2021","2483","firefox-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:14:43 GMT 2021","Thu Aug 26 18:14:47 GMT 2021","4023","firefox-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Thu Aug 26 18:16:14 GMT 2021","Thu Aug 26 18:16:16 GMT 2021","1978","webkit-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:14:30 GMT 2021","Thu Aug 26 18:14:31 GMT 2021","1653","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Aug 26 18:12:48 GMT 2021","Thu Aug 26 18:12:50 GMT 2021","1777","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Twitter link on footer",""
"passed","Thu Aug 26 18:15:17 GMT 2021","Thu Aug 26 18:15:20 GMT 2021","2575","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should show items sorted alphabetically",""
"passed","Thu Aug 26 18:14:15 GMT 2021","Thu Aug 26 18:14:16 GMT 2021","1626","chrome-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Cart page when clicking at the cart button",""
"passed","Thu Aug 26 18:14:23 GMT 2021","Thu Aug 26 18:14:24 GMT 2021","944","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Aug 26 18:12:46 GMT 2021","Thu Aug 26 18:12:48 GMT 2021","1892","chromium-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to remove product from cart",""
"passed","Thu Aug 26 18:14:43 GMT 2021","Thu Aug 26 18:14:45 GMT 2021","2095","firefox-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should match cart badge with items in cart",""
"passed","Thu Aug 26 18:16:25 GMT 2021","Thu Aug 26 18:16:27 GMT 2021","2102","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items from Z to A",""
"passed","Thu Aug 26 18:15:46 GMT 2021","Thu Aug 26 18:15:48 GMT 2021","2156","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Aug 26 18:13:04 GMT 2021","Thu Aug 26 18:13:06 GMT 2021","1735","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should go back to Cart if cancel checkout",""
"passed","Thu Aug 26 18:12:43 GMT 2021","Thu Aug 26 18:12:44 GMT 2021","995","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Aug 26 18:14:33 GMT 2021","Thu Aug 26 18:14:35 GMT 2021","1531","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Aug 26 18:13:19 GMT 2021","Thu Aug 26 18:13:20 GMT 2021","1640","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should have a completed order message",""
"passed","Thu Aug 26 18:16:45 GMT 2021","Thu Aug 26 18:16:47 GMT 2021","1951","webkit-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the shipping information",""
"passed","Thu Aug 26 18:15:59 GMT 2021","Thu Aug 26 18:16:01 GMT 2021","1966","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Aug 26 18:14:04 GMT 2021","Thu Aug 26 18:14:07 GMT 2021","2642","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should back at Invetory page when clicking at the all items link on menu",""
"passed","Thu Aug 26 18:13:45 GMT 2021","Thu Aug 26 18:13:47 GMT 2021","1681","chromium-fhd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Aug 26 18:13:56 GMT 2021","Thu Aug 26 18:13:57 GMT 2021","1617","chrome-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Thu Aug 26 18:15:10 GMT 2021","Thu Aug 26 18:15:12 GMT 2021","2553","firefox-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be at Inventory page after login",""
"passed","Thu Aug 26 18:13:03 GMT 2021","Thu Aug 26 18:13:04 GMT 2021","1827","chromium-fhd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to add an item into the cart @smoke",""
"passed","Thu Aug 26 18:16:27 GMT 2021","Thu Aug 26 18:16:30 GMT 2021","2111","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from Low to High",""
"passed","Thu Aug 26 18:16:01 GMT 2021","Thu Aug 26 18:16:03 GMT 2021","2049","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show lastName error message if empty",""
"passed","Thu Aug 26 18:13:38 GMT 2021","Thu Aug 26 18:13:40 GMT 2021","1809","chromium-fhd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Thu Aug 26 18:12:17 GMT 2021","Thu Aug 26 18:12:19 GMT 2021","2068","chromium-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show postalCode error message if empty",""
"passed","Thu Aug 26 18:12:24 GMT 2021","Thu Aug 26 18:12:26 GMT 2021","2173","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should remove cart items when clicking at the reset state link on menu",""
