"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 04:01:36 GMT 2021","Thu Oct 14 04:01:39 GMT 2021","2155","chrome-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Oct 14 04:00:06 GMT 2021","Thu Oct 14 04:00:08 GMT 2021","1941","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should have the added items on the Overview Checkout @smoke",""
"passed","Thu Oct 14 04:03:59 GMT 2021","Thu Oct 14 04:04:02 GMT 2021","3067","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should navigate to inventory page after successful login @smoke",""
"passed","Thu Oct 14 04:00:01 GMT 2021","Thu Oct 14 04:00:03 GMT 2021","1719","chromium-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
"passed","Thu Oct 14 04:05:13 GMT 2021","Thu Oct 14 04:05:16 GMT 2021","3042","webkit-hd","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Swag Bot image on footer",""
"passed","Thu Oct 14 04:02:27 GMT 2021","Thu Oct 14 04:02:29 GMT 2021","2792","chrome-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be back at Inventory page when click at the cancel button",""
"passed","Thu Oct 14 04:04:29 GMT 2021","Thu Oct 14 04:04:33 GMT 2021","4088","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to close sidemenu clicking at the X button @slow",""
"passed","Thu Oct 14 04:06:46 GMT 2021","Thu Oct 14 04:06:48 GMT 2021","1741","iphone-8","login.spec.js","Saucedemo LoginPage: @login","","","should be at the login url",""
"skipped","Thu Oct 14 04:01:29 GMT 2021","Thu Oct 14 04:01:30 GMT 2021","646","chromium-fhd","failSample.spec.js","","","","marked as 'should fail' on purpose to show expected error evidences @login @should-fail",""
"passed","Thu Oct 14 04:04:36 GMT 2021","Thu Oct 14 04:04:39 GMT 2021","2452","webkit-hd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should be at Checkout page",""
"passed","Thu Oct 14 04:03:16 GMT 2021","Thu Oct 14 04:03:21 GMT 2021","4878","firefox-hd","e2e.spec.js","Saucedemo E2E: @e2e","","","User should be able to complete a purchase @e2e-purchase",""
"passed","Thu Oct 14 04:03:10 GMT 2021","Thu Oct 14 04:03:13 GMT 2021","3733","firefox-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Thu Oct 14 04:02:23 GMT 2021","Thu Oct 14 04:02:24 GMT 2021","1566","chrome-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username is required error",""
"passed","Thu Oct 14 04:01:50 GMT 2021","Thu Oct 14 04:01:52 GMT 2021","1882","chrome-hd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be at Completed page",""
"passed","Thu Oct 14 04:04:27 GMT 2021","Thu Oct 14 04:04:29 GMT 2021","2555","webkit-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to open sidemenu @slow @smoke",""
"passed","Thu Oct 14 04:06:40 GMT 2021","Thu Oct 14 04:06:43 GMT 2021","2971","iphone-8","inventoryDetails.spec.js","Saucedemo InventoryPage: @details","","","should be at Inventory page when clicking at the back to products",""
"passed","Thu Oct 14 04:00:35 GMT 2021","Thu Oct 14 04:00:37 GMT 2021","2321","chromium-fhd","checkout.spec.js","Saucedemo CheckoutPage: @checkout","","","should show firstName error message if empty",""
"passed","Thu Oct 14 04:08:09 GMT 2021","Thu Oct 14 04:08:11 GMT 2021","1913","pixel-4","login.spec.js","Saucedemo LoginPage: @login","","","should show locked user error",""
"passed","Thu Oct 14 04:00:41 GMT 2021","Thu Oct 14 04:00:44 GMT 2021","3248","chromium-fhd","completed.spec.js","Saucedemo CompletedPage:  @completed","","","should be back at Inventory page when click at the Back Home button",""
"passed","Thu Oct 14 04:04:04 GMT 2021","Thu Oct 14 04:04:07 GMT 2021","3166","firefox-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Completed page when click at the finish button",""
"passed","Thu Oct 14 04:07:49 GMT 2021","Thu Oct 14 04:07:52 GMT 2021","2830","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to sort items prices from High to Low",""
"passed","Thu Oct 14 03:59:16 GMT 2021","Thu Oct 14 03:59:18 GMT 2021","2039","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should navigate to SauceLabs page when clicking at the about link on menu @slow",""
"passed","Thu Oct 14 04:06:31 GMT 2021","Thu Oct 14 04:06:34 GMT 2021","3397","iphone-8","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should be possible to add product to cart @smoke",""
"passed","Thu Oct 14 04:00:03 GMT 2021","Thu Oct 14 04:00:05 GMT 2021","2038","chromium-hd","overview.spec.js","Saucedemo OverviewPage: @overview","","","should be at Overview page",""
"passed","Thu Oct 14 03:59:10 GMT 2021","Thu Oct 14 03:59:12 GMT 2021","2231","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be possible to remove product from cart",""
"passed","Thu Oct 14 03:59:18 GMT 2021","Thu Oct 14 03:59:21 GMT 2021","2763","chromium-hd","cart.spec.js","Saucedemo CartPage: @cart","","","should be at Login page when clicking at the logout link on menu",""
"passed","Thu Oct 14 04:07:55 GMT 2021","Thu Oct 14 04:07:57 GMT 2021","2744","pixel-4","inventory.spec.js","Saucedemo InventoryPage: @inventory","","","should have Facebook link on footer",""
"passed","Thu Oct 14 04:03:59 GMT 2021","Thu Oct 14 04:04:01 GMT 2021","2189","firefox-hd","login.spec.js","Saucedemo LoginPage: @login","","","should show username and password doesn't match",""
